Latitude,Longitude,Elevation,Grade(%)
47.25173,11.40479,630.5,4.372536181
47.25141,11.40439,632.8,4.822697574
47.25103,11.4040199,630.9,5.186192739
47.25063,11.40371,635.6482365,5.441910505
47.25,11.4032699,642.9728633,5.574983222
47.24936,11.40283,650.392571,5.577832259
47.24891,11.4024,656.0275229,5.450387523
47.24875,11.40223,656.3873675,5.199635143
47.2485,11.4019,656.9996764,4.838728123
47.24826,11.40152,657.6423653,4.385896711
47.24804,11.40108,658.3190297,3.863346351
47.24785,11.40063,658.9752286,3.296263776
47.24757,11.3997,660.2349797,2.71198965
47.24729,11.39869,661.585887,2.257578172
47.24701,11.39768,662.9368004,1.97699195
47.24673,11.39667,664.28772,1.64163189
47.24655,11.39607,665.1,1.629035042
47.2462,11.39521,663.4114887,1.666343302
47.24584,11.39451,661.9326414,1.790156045
47.24552,11.39395,660.7,1.925108618
47.24494,11.39308,667.1,2.033881895
47.2446,11.39265,668.8,2.289883318
47.24425,11.39222,672,2.467206851
47.24373,11.39169,676.8,2.586180519
47.24328,11.39132,680,2.660302172
47.24301,11.39113,682.2,2.69860661
47.2426699,11.39092,683.3,2.696456109
47.2423,11.39072,683.3,2.667080154
47.24172,11.3905,679,2.580594517
47.24116,11.39035,680,2.452263729
47.24078,11.3903,680.6,2.167877587
47.24036,11.39028,684,1.927343368
47.23986,11.3903,686.1,1.636587984
47.23905,11.3904599,681.3,1.495397107
47.2388199,11.39052,681.6237495,1.389609928
47.23802,11.39077,682.7572604,1.34598028
47.23722,11.39103,683.8927626,1.414540702
47.23637,11.39131,685.1,1.575985227
47.23553,11.3916,686.9,1.847578293
47.23468,11.39188,688.7,2.134828386
47.23384,11.39216,692.6,2.387391116
47.23299,11.39245,697.7,2.319788232
47.23215,11.39273,705.7,2.227660635
47.2313,11.39302,706.1,2.156326094
47.23045,11.3933,707.5861637,2.20985293
47.23026,11.39336,707.9177235,2.373770936
47.22987,11.39349,708.6,2.570269209
47.22907,11.39358,711.8,2.874831276
47.22864,11.39355,713.1,3.326085709
47.22816,11.39348,714.3,3.922031061
47.2278,11.39337,715.4,4.5643589
47.22712,11.39309,717.6,5.010436858
47.22652,11.39275,719.2,4.998843177
47.22593,11.39242,725.5962659,4.945289815
47.2257,11.39231,728.0471008,5.028253651
47.22528,11.39212,732.5,5.365216839
47.22476,11.3919599,740.4,6.010164249
47.2243,11.39188,747.2,6.819957838
47.22342,11.39189,753.6,7.288477065
47.22282,11.39202,758.7,7.428367348
47.22237,11.39217,760.2,7.40920969
47.22178,11.39242,758.5,7.267859396
47.2212,11.39267,755.3,7.008455991
47.2207099,11.39292,757.3,6.813443743
47.22023,11.3931799,769.3,6.575369242
47.21941,11.39366,784.8,6.106773695
47.2186499,11.39421,796.4,5.718632805
47.2179,11.39476,805.9,5.375051057
47.21729,11.3953,800.6,5.073211676
47.2166799,11.39584,791.4,5.001878452
47.21604,11.39647,795.3,5.14698961
47.2154,11.3971,802.7,5.385780469
47.21477,11.39774,809.6,5.634750124
47.21413,11.39837,816.5,5.718705144
47.2135,11.3989999,824.2,5.615354261
47.21289,11.39953,825,5.339398396
47.21229,11.40005,826.5,5.024870519
47.21168,11.40058,833.8,4.951990036
47.21107,11.40105,838,5.036191947
47.21047,11.40152,843.3,5.232248934
47.2099199,11.40189,848.8,5.521410597
47.20937,11.40227,852.3,5.499813812
47.2088899,11.40256,854.9,5.06059331
47.20841,11.40284,855.3,4.621395298
47.20783,11.40315,857.8,4.2814306
47.20725,11.40345,862.8,4.024445605
47.20673,11.40367,865.1,3.850376489
47.2064,11.40378,864.6,3.788884185
47.20602,11.40387,863.8,3.638271601
47.2055999,11.40391,865.8463587,3.426941635
47.20536,11.40389,867.0151352,3.343354633
47.20506,11.4038299,868.4871732,3.291185209
47.20484,11.40376,869.5815449,3.242964473
47.20446,11.4036,871.5032556,3.453968532
47.20407,11.40336,873.558535,3.645467665
47.2037199,11.40312,875.4358823,3.816025709
47.20319,11.40269,878.3783514,3.864732572
47.20266,11.40225,881.3369152,3.973776896
47.20192,11.40167,885.4132204,4.207750944
47.20118,11.40108,889.5051692,4.45911985
47.20044,11.40049,893.5971308,4.582757573
47.1997,11.39991,897.6734737,4.415807072
47.19896,11.39932,901.7654613,4.31281359
47.19848,11.3989499,904.4,4.28700675
47.19792,11.3986,910.1,4.322927809
47.19747,11.39837,909.4,4.41226739
47.19701,11.39815,912,4.533877119
47.19666,11.39804,914.2,4.673418616
47.19619,11.3979199,918.1,4.820943493
47.1956,11.39782,920.4415841,4.969466875
47.19545,11.3978,921.0354151,5.113816294
47.19475,11.39774,923.8,5.249957083
47.19427,11.39774,925.8,5.374765903
