Latitude,Longitude,Elevation,Grade(%)
38.4874,-107.05909,2293.3,1.1712702
38.48708,-107.05913,2293.3,1.197404417
38.48684,-107.05918,2293.3,1.213554578
38.48662,-107.05928,2293.9,1.218836634
38.48635,-107.05947,2295,1.212549239
38.4858,-107.06005,2295.4,1.194199499
38.48524,-107.06063,2299.4,1.163522106
38.4847899,-107.06092,2301.3,1.120491428
38.48435,-107.06121,2300.6,1.065326633
38.48359,-107.06142,2308.6,0.998490294
38.48284,-107.06162,2308.1,0.920681277
38.48208,-107.06182,2298.2,0.832822913
38.48133,-107.06202,2294.9,0.736047586
38.48063,-107.06214,2295.3,0.631678849
38.47993,-107.06227,2295.2,0.521212128
38.47923,-107.0623899,2300.3,0.40629495
38.47876,-107.06249,2300.5,0.288707466
38.47831,-107.06267,2301.5,0.170343847
38.47796,-107.06293,2299.5,0.053195002
38.47736,-107.06359,2296.4,-0.060667127
38.47677,-107.06425,2298.5,-0.153688856
38.47617,-107.06491,2299.5,-0.261020501
38.47557,-107.0655699,2297.8,-0.287447202
38.475,-107.06628,2293.5,-0.317928506
38.47444,-107.0669999,2293.8,-0.327539945
38.47408,-107.06751,2293.6,-0.292839113
38.47384,-107.06801,2293.9,-0.231201439
38.47367,-107.0684,2293.8,-0.133120534
38.47336,-107.0693,2293.8,-0.053754344
38.47323,-107.06979,2294,0.104373377
38.47313,-107.07039,2294,0.250114256
38.47308,-107.07096,2294.4,0.294786464
38.47307,-107.0716,2295.4,0.28989995
38.47309,-107.0727,2299.5,0.266227989
38.47311,-107.07381,2298.4,0.242726345
38.47313,-107.07491,2296.6,0.298154545
38.4731499,-107.07601,2302.4,0.380311027
38.47317,-107.07711,2297.2,0.472859915
38.47322,-107.0779699,2295.8,0.492948572
38.47328,-107.0786399,2302.4,0.467826943
38.47338,-107.07932,2302,0.41801353
38.47348,-107.08001,2305,0.399538386
38.47364,-107.08102,2297.9,0.435421466
38.4738,-107.08203,2300.5,0.418679834
38.47396,-107.08304,2302,0.409921319
38.47412,-107.08405,2297.7,0.438711682
38.47428,-107.08506,2298.5,0.395947859
38.47437,-107.08581,2297.3,0.319595811
38.47445,-107.08672,2297.2,0.232704679
38.4744699,-107.08769,2296.2,0.131438772
38.4745,-107.08866,2296.2,0.031912738
38.47453,-107.08963,2296,-0.049276088
38.4745599,-107.09059,2297.2,-0.099588379
38.47453,-107.09118,2298.8,-0.100042065
38.47445,-107.09156,2299.1,-0.105371175
38.4743,-107.09198,2298.1,-0.087202692
38.47413,-107.09224,2297,-0.008734165
38.47394,-107.09247,2296.7,0.036102348
38.47369,-107.09267,2297.8,0.0860674
38.47343,-107.0928,2298.5,0.240757302
38.47326,-107.09286,2300,0.407149017
38.47307,-107.0928799,2300.2,0.628801312
38.47284,-107.09289,2298.4,0.782607626
38.4726799,-107.09283,2298.6,0.969253008
38.47214,-107.0926099,2297.9,1.169283749
38.47161,-107.09239,2293.5,1.326018151
38.47098,-107.0921,2298.9,1.47488538
38.47039,-107.09178,2302.2,1.597385205
38.46967,-107.09141,2305.2,1.727071264
38.46896,-107.09104,2310,1.855949893
38.46824,-107.09067,2313.8,1.982308432
38.4677999,-107.09048,2315.7,2.107576393
38.46736,-107.09029,2317.4,2.216603422
38.46685,-107.09015,2319.5,2.340517533
38.46634,-107.09002,2322.5,2.465523425
38.46593,-107.08998,2322.8,2.563385758
38.46548,-107.08998,2324.6,2.610069542
38.46503,-107.08998,2326.3,2.652265465
38.46459,-107.09001,2327.2,2.704968774
38.46409,-107.0901,2328.7,2.792994756
38.46359,-107.09019,2329.6,2.926263095
38.46277,-107.09035,2330.9,3.012643936
38.46196,-107.09052,2333.7,3.012468079
38.46146,-107.09058,2334.6,3.029106356
38.46096,-107.0906399,2336,3.042668863
38.46009,-107.09067,2338.7,2.990457047
38.4596,-107.09067,2341.2,2.997631663
38.45911,-107.09066,2343.8,3.001790527
38.45864,-107.0906,2345.1,3.009694991
38.45817,-107.09053,2346,3.059307035
38.4572999,-107.0903699,2348.5,3.12454873
38.45678,-107.09024,2349.5,3.182074712
38.45626,-107.0901,2352.7,3.172307842
38.45558,-107.08985,2355.9,3.178204494
38.45489,-107.0896,2358.8,3.237578484
38.45421,-107.08935,2361.6,3.284956965
38.45377,-107.08914,2364.4,3.32964752
38.45331,-107.0888499,2365.7,3.372955934
38.45285,-107.08857,2368.3,3.399598091
38.45247,-107.08825,2368.2,3.430559651
38.4521,-107.08793,2369.8,3.456136031
38.45165,-107.08748,2375.4,3.468196072
38.45127,-107.08704,2379.5,3.457276437
38.45084,-107.08645,2381.5,3.461881318
38.45042,-107.0858499,2382.8,3.460434956
38.44984,-107.08498,2384.9,3.461132182
38.44926,-107.0841,2385.1,3.452234796
38.44868,-107.08323,2389.8,3.454333377
38.4480999,-107.08235,2392.9,3.445822938
38.44752,-107.08148,2392.9,3.426670537
38.44719,-107.08102,2393.4,3.375318984
38.4468,-107.08054,2395.1,3.333335851
38.44657,-107.08031,2398.9,3.332139099
38.44627,-107.08006,2400.5,3.354517593
38.44573,-107.07974,2400.6,3.394086015
38.44548,-107.07962,2401.3,3.444186344
38.44508,-107.07949,2403.2,3.511725855
38.44429,-107.07932,2406.9,3.557200276
38.4435,-107.07915,2411.2,3.607905518
38.44271,-107.07898,2414.1,3.626448125
38.44192,-107.07881,2416.8,3.65579252
38.44113,-107.07865,2420,3.735430614
38.44068,-107.07854,2423.6,3.870486625
38.44023,-107.07838,2424.1,3.992265842
38.43976,-107.0782,2426.1,4.116809693
38.43912,-107.07787,2428.2,4.265292987
38.43849,-107.07754,2433,4.384528481
38.43785,-107.07722,2436.7,4.450633209
38.43722,-107.07689,2440.9,4.504315728
