Latitude,Longitude,Elevation,Grade(%)
49.36648,-121.35567,251.1,6.140965511
49.36705,-121.35577,252.7,6.115293962
49.3673,-121.3559,256.6,6.041510457
49.36764,-121.35616,260,5.919176447
49.36829,-121.35679,265.5,5.748188561
49.36852,-121.35706,267.8,5.528796248
49.36878,-121.35743,269,5.261617288
49.36922,-121.3582,273.3,4.947651037
49.36954,-121.35888,276.3,4.588289314
49.36986,-121.35956,273.3,4.185324861
49.37032,-121.36049,273.3,3.74095736
49.37078,-121.36142,272.8,3.257797002
49.3713,-121.36241,266.7,2.73886567
49.37154,-121.36279,267.2,2.187595804
49.37203,-121.36339,269.2,1.607827053
49.37232,-121.36369,265.7,1.003800855
49.37277,-121.36399,258.6,0.380153079
49.37303,-121.36414,255.3,-0.258095073
49.37348,-121.36432,252.1,-0.905547751
49.37382,-121.36441,250.1,-1.556446514
49.37413,-121.36446,248.6,-2.24348272
49.3745,-121.36447,247.6,-2.919939661
49.37478,-121.36444,247.6,-3.483051377
49.3753,-121.36431,247,-3.961245877
49.37578,-121.36406,247.9,-4.35610483
49.37619,-121.3638,245.9,-4.678960082
49.37643,-121.36359,242.3,-4.961063563
49.37666,-121.36336,236,-5.200458646
49.37713,-121.36275,228.2,-5.384016751
49.37741,-121.36235,220,-5.540375729
49.37767,-121.36189,214.7,-5.64104495
49.37799,-121.36114,208.5,-5.695328131
49.37813,-121.36073,204.8,-5.730798967
49.37833,-121.35993,196.4,-5.716777126
49.37848,-121.35886,196.4,-5.620013068
49.37853,-121.35801,197.2,-5.483136799
49.37859,-121.35716,198.7,-5.340164178
49.37863,-121.35637,200.9,-5.2147024
49.37867,-121.35559,200.1,-5.078469786
49.3787,-121.35461,202.3,-4.924351125
49.37871,-121.35345,204.5,-4.748166106
49.37858,-121.35231,208.7,-4.53517565
49.37835,-121.3513,203.7,-4.268110581
49.37802,-121.35035,199.2,-3.940941438
49.37781,-121.34971,195.1,-3.536972788
49.3776,-121.34907,192.5,-3.084468903
49.3775,-121.34866,192.2,-2.627097177
49.37737,-121.34788,194.3,-2.238356892
49.37733,-121.34718,195.5,-1.881186524
49.37737,-121.34633,195.9,-1.590981225
49.37745,-121.34554,195.3,-1.355257341
49.37758,-121.34477,196,-1.102900759
49.3777,-121.344,197.5,-0.841751068
49.37788,-121.34284,201.2,-0.607806515
49.37805,-121.34169,200.1,-0.413828315
49.37823,-121.34053,196.8,-0.24153345
49.37837,-121.33969,195.8,-0.063393595
49.37851,-121.33886,199.6,0.091712415
49.37866,-121.33779,203.2,0.239456712
49.37882,-121.33672,206.8,0.370191873
49.37893,-121.33548,211.5,0.506044035
49.37894,-121.33475,213.7,0.66554645
49.3789,-121.3338,215.6,0.802632561
49.37888,-121.33251,215.6,0.927843547
49.37885,-121.33121,213.2,1.001485436
49.37883,-121.32991,210.7,1.03184809
49.3788,-121.32862,209.3,1.034223194
49.37878,-121.32732,215.3,1.028149248
49.37876,-121.32603,220.8,1.005415976
49.37874,-121.32485,226.2,0.964511682
49.37873,-121.32368,235,0.902509118
49.37883,-121.32291,231.1,0.829360969
49.37898,-121.32221,224.8,0.75186984
49.37917,-121.32158,219.2,0.679792453
49.37944,-121.32095,221.2,0.584210618
49.37975,-121.32033,222.2,0.464172309
49.38013,-121.31986,220.1,0.331886272
49.3806,-121.31937,223.8,0.216764319
49.38101,-121.31909,222.6,0.113910849
49.38154,-121.31885,225.8,0.025334717
49.38205,-121.31875,226.1,-0.042630253
49.38241,-121.31872,225.5,-0.102892579
49.38316,-121.31872,223.7,-0.137591433
49.3839,-121.31871,218.4,-0.178802263
49.38465,-121.31871,218,-0.214356527
49.38511,-121.3187,217.8,-0.247813585
49.38558,-121.3187,217.6,-0.285431835
49.38635,-121.31868,217.3,-0.297383605
49.38712,-121.31866,218.5,-0.261948198
49.38789,-121.31864,219.3,-0.201179485
49.38866,-121.31863,219.6,-0.07912424
49.38943,-121.31861,219.9,0.03592613
49.39007,-121.31864,220.3,0.110692878
49.39095,-121.31885,220.8,0.138908761
49.39182,-121.31906,223.8,0.177804767
49.39269,-121.31927,224.8,0.228551566
49.39347,-121.31948,224.6,0.26502871
49.39417,-121.31963,224.8,0.322798419
49.39468,-121.31961,225.2,0.368245997
49.39524,-121.31952,225.8,0.443960007
49.39577,-121.31932,226.3,0.532260592
49.3964,-121.31893,229.6,0.620886116
49.39711,-121.31834,228.9,0.685975078
49.39776,-121.31785,233,0.707928716
49.39841,-121.31736,232.7,0.73635475
49.39906,-121.31687,232.2,0.752683785
49.39964,-121.31646,233.3,0.765722615
49.40038,-121.31605,235.5,0.797630376
49.40108,-121.31581,233,0.84485923
49.40161,-121.31571,235,0.892248636
49.40215,-121.31561,234.8,0.933340621
49.40241,-121.31562,234.6,0.951372121
49.40297,-121.31568,235.3,0.941113778
49.40362,-121.31587,236.7,0.921568061
49.40427,-121.31606,238.2,0.928884607
49.40502,-121.31633,238.4,0.938511077
49.40577,-121.31661,239.1,0.936175283
49.40652,-121.31688,240.6,0.92826641
49.40728,-121.31716,242.8,0.937415659
49.40777,-121.31729,242.5,0.93877181
49.40826,-121.31742,241.9,0.956306247
49.40872,-121.3175,241.5,0.997957687
49.40918,-121.31758,243.9,1.024210826
49.40994,-121.31764,249.1,1.055484732
49.4106,-121.31763,248.7,1.071998493
49.41125,-121.31762,251.7,1.079984738
49.41191,-121.31758,253.4,1.091405443
49.41257,-121.31754,250.2,1.119864642
49.41323,-121.31751,247.6,1.114806132
49.41393,-121.31742,246.7,1.093044276
49.41463,-121.31733,246.3,1.047317971
49.41546,-121.31727,250.2,1.007106972
49.41603,-121.31718,255,0.961725661
49.41663,-121.31696,257.9,0.970777485
49.41715,-121.31673,256.4,0.987639663
49.41763,-121.31645,257,1.032284484
49.41816,-121.31606,259.4,1.063887862
49.41876,-121.31556,261.7,1.10075075
49.41941,-121.31496,259.3,1.166959725
49.42006,-121.31437,262,1.245557198
49.4207,-121.31377,259.1,1.324260054
49.42135,-121.31317,256.4,1.35802559
49.42205,-121.31255,257.5,1.366838676
49.42257,-121.31215,259.2,1.340906717
49.42333,-121.31174,262,1.336450264
49.42377,-121.31157,262.8,1.353963066
49.42429,-121.3115,263.2,1.4437063
49.42481,-121.31143,261.9,1.500406591
49.42544,-121.31141,265.3,1.54615922
49.42608,-121.31138,271.7,1.599939641
49.42679,-121.31134,279.4,1.632476298
49.4275,-121.31129,281.7,1.659889809
49.42805,-121.31113,286.7,1.690024496
49.42875,-121.31074,280.7,1.717965583
49.42925,-121.31032,282.6,1.720939444
49.42976,-121.30982,279.2,1.714077368
49.43027,-121.30931,282.6,1.701461542
49.43074,-121.30894,283.7,1.702490291
49.43135,-121.30869,280.6,1.697227799
49.43181,-121.3086,277.8,1.707271586
49.43264,-121.30851,273,1.698075343
49.43348,-121.30842,279,1.689775498
49.434,-121.30829,284.6,1.684094025
49.43451,-121.30803,295.6,1.69330719
49.43504,-121.30766,295.5,1.69422092
49.4354,-121.30727,297.4,1.693503574
49.43579,-121.30675,289.9,1.696512697
49.43631,-121.30597,293.3,1.6647268
49.43683,-121.3052,292.2,1.637474744
49.43734,-121.30443,287.4,1.62819528
49.43786,-121.30365,287.8,1.629713173
49.43826,-121.30293,288.8,1.598288842
49.43867,-121.30211,292,1.618155874
49.4389,-121.3016,293.8,1.611423624
49.43905,-121.30116,295.2,1.616962055
49.43931,-121.30028,298.1,1.594323896
49.4395,-121.2995,302.4,1.592573364
49.43966,-121.29862,304.2,1.599989394
49.43977,-121.29779,305.1,1.563066965
49.43982,-121.29696,306,1.493972509
49.43984,-121.29606,308.1,1.381600958
49.43981,-121.29508,305.9,1.273321797
49.43978,-121.29411,305.3,1.177969534
49.43976,-121.29313,302.6,1.127987251
49.43979,-121.29227,303.9,1.08738264
49.43988,-121.29143,303.2,1.054236122
49.44008,-121.29016,298.8,0.988896568
49.44029,-121.28888,299.9,0.949654207
49.4405,-121.28761,298.2,0.911682224
49.44067,-121.28652,297.7,0.851241047
49.44084,-121.28543,300.7,0.777694311
49.44102,-121.28438,309.4,0.707156221
49.44121,-121.28333,306.6,0.636551255
49.4415,-121.28206,306.2,0.594793703
49.44171,-121.28131,305.6,0.566446838
49.44193,-121.28056,305.9,0.552532323
49.44208,-121.28018,305.1,0.568745082
49.44242,-121.27937,302.7,0.611853076
49.44287,-121.2785,305.5,0.667711381
49.44331,-121.27763,304.7,0.737783591
49.44385,-121.27663,305.8,0.831111936
49.4444,-121.27563,306.9,0.910867096
49.44495,-121.27463,310.6,0.957341769
49.44531,-121.27401,315.6,1.000014086
49.44567,-121.27339,316.3,1.057822432
49.44622,-121.2724,322.4,1.120489849
49.44678,-121.27141,321.4,1.166967687
49.44734,-121.27042,321.2,1.223552282
49.44787,-121.2695,321.1,1.263600868
49.44836,-121.26861,321.1,1.305759736
49.44885,-121.26773,324.3,1.37370944
49.44935,-121.26684,325.2,1.477995647
49.44984,-121.26596,329.8,1.568859834
49.45022,-121.26531,328.8,1.648063921
49.45059,-121.26466,330.1,1.723819331
49.45099,-121.26406,331.8,1.79429861
49.45139,-121.26345,333.5,1.843311674
49.452,-121.26261,332.9,1.86354663
49.45268,-121.26181,334.1,1.873242485
49.45339,-121.26102,334.8,1.860317327
49.45412,-121.26032,334.7,1.836106143
49.45452,-121.25992,336.1,1.802883998
49.45492,-121.25951,342.1,1.775607147
49.45563,-121.25905,343.6,1.772382037
49.45634,-121.25858,345.6,1.769404354
49.45704,-121.25811,346.7,1.783433767
49.45775,-121.25764,348.6,1.788240968
49.45832,-121.25725,349,1.791197578
49.4589,-121.25686,351.9,1.786443027
49.45947,-121.25647,352,1.774022395
49.46027,-121.25595,349.4,1.773622992
49.46107,-121.25543,351.5,1.772632131
49.46187,-121.25491,351.8,1.787208581
49.46218,-121.25473,352.7,1.788093997
49.46285,-121.25449,352.1,1.787372515
49.4637,-121.25424,352.5,1.787338195
49.46433,-121.25416,353.2,1.776468136
49.4649,-121.25415,354,1.747555845
49.46548,-121.25413,356.5,1.708312343
49.46619,-121.25419,359,1.650125175
49.46691,-121.25425,361.2,1.573276565
49.46777,-121.25435,363.5,1.522439443
49.46863,-121.25444,365,1.526523776
49.46929,-121.25444,366.5,1.539430382
49.46985,-121.2544,367.3,1.553590134
49.47041,-121.25437,369,1.573333039
49.47116,-121.25428,370.8,1.571805351
49.4719,-121.25418,371.3,1.530273638
49.47265,-121.25408,372.7,1.518768652
49.47339,-121.25399,373.9,1.521801358
49.47414,-121.25389,373.9,1.497713831
49.47451,-121.25384,373.9,1.49000368
49.47513,-121.25376,374,1.471880598
49.47575,-121.25367,374.1,1.46021453
49.47641,-121.25359,374.3,1.451853773
49.47717,-121.25349,374.5,1.45414939
49.47793,-121.25339,377.6,1.475135379
49.47861,-121.25329,379.7,1.507839866
49.4793,-121.25319,382.1,1.53862186
49.47975,-121.25302,385,1.562740392
49.4802,-121.25286,388,1.600207128
49.48064,-121.25261,386.4,1.64306452
49.48107,-121.25235,385,1.698320302
49.48179,-121.25182,384.1,1.771278852
49.48254,-121.25122,385.2,1.856061121
49.48329,-121.25063,384,1.955524147
49.48403,-121.25004,390.6,2.066280348
49.48452,-121.24978,398.2,2.179570818
49.48528,-121.24944,398.8,2.29727184
49.48611,-121.24934,398.6,2.385778674
49.48683,-121.24928,404.5,2.461238962
49.48754,-121.24922,405.7,2.523723698
49.4881,-121.24915,409.9,2.571456956
49.48861,-121.24898,413.1,2.619462137
49.48912,-121.24873,415,2.676260464
49.48956,-121.2484,416,2.753058137
49.49003,-121.24794,415.5,2.87140608
49.49066,-121.24728,415.4,3.01005362
49.49129,-121.24661,420.6,3.093358664
49.49192,-121.24595,427.6,3.18390458
49.49232,-121.24549,429.7,3.284662986
49.49273,-121.24503,433,3.381276207
49.49307,-121.24459,434.7,3.471771381
49.49332,-121.24422,435.5,3.539479272
49.49375,-121.24339,437.1,3.597160696
49.49403,-121.24264,438.5,3.616979735
49.4942,-121.24195,439.6,3.658317798
49.49437,-121.24109,441,3.766393295
