Latitude,Longitude,Elevation,Grade(%)
35.17335,-114.56581,162.5,-1.409828747
35.17407,-114.56577,161.5,-0.982013799
35.17479,-114.56573,160.7,-0.555063329
35.1755,-114.56569,162.4,-0.136303219
35.17616,-114.56552,163.9,0.266741746
35.17681,-114.56535,162.2,0.646579639
35.17759,-114.56511,164.1,0.995961278
35.17837,-114.56487,166.5,1.308055288
35.1791399,-114.56463,170.3,1.576580669
35.17992,-114.56439,171.5,1.723719538
35.1807,-114.56415,171.5,1.829625393
35.18147,-114.56392,184.1,1.915864848
35.18225,-114.56368,178.1,2.066544361
35.18303,-114.56344,176,2.131794266
35.18316,-114.56333,176.6,1.970638343
35.18366,-114.56313,183.1,1.770244715
35.18397,-114.56295,179.1,1.626690141
35.1842,-114.56278,180.5,1.663683444
35.18442,-114.56258,182.3,1.792846913
35.18476,-114.56217,183.7,1.70717653
35.18492,-114.56193,183.9,2.279475398
35.18518,-114.56143,182.9,2.93653904
35.18531,-114.56106,184.3,3.487654809
35.18541,-114.56072,187,4.248282699
35.1855,-114.5603,190.4,5.068587663
35.18568,-114.55929,197.9,5.445071015
35.18586,-114.55829,202.9,5.716773657
35.18604,-114.55728,208,5.924517269
35.18611,-114.55671,219.1,5.976502649
35.18618,-114.55613,220.7,5.836099468
35.1862799,-114.55527,220.2,5.47504988
35.18634,-114.55427,225.6,4.975409279
35.18636,-114.55334,219.8,4.485623543
35.18638,-114.55241,223.2,3.994054417
35.18642,-114.55148,225.9,3.582593857
35.18647,-114.55046,228.6,3.259181101
35.18653,-114.54991,230.2,2.999749518
35.18659,-114.5495,232,3.262593866
35.18668,-114.54909,234,3.653929402
35.18679,-114.54864,235.3,3.799828604
35.18709,-114.5477,239.7,4.206924261
35.1873999,-114.54676,243.6,4.469335101
35.1877,-114.54582,250.7,4.656041702
35.188,-114.54488,256.8,4.839797745
35.18831,-114.54394,260.8,5.039634327
35.18861,-114.543,265.4,5.138598984
35.18891,-114.54206,268.4,5.137140906
35.18921,-114.54113,269.6,5.157765893
35.18938,-114.54046,279.1,5.015898588
35.1895,-114.5398,280.4,4.870100888
35.18956,-114.53934,281,4.723135329
35.18965,-114.53834,287.8,4.632177996
35.18974,-114.53733,291.5,4.604407263
35.18983,-114.53633,292,4.565851375
35.18991,-114.53533,295.5,4.513795762
35.19,-114.53432,301.4,4.497931456
35.19009,-114.53332,303.3,4.29103424
35.19018,-114.53232,310.9,4.417532572
35.19027,-114.53131,315.5,4.628572056
35.19035,-114.53031,319,4.764333866
35.19044,-114.52931,323.6,4.868011049
35.19053,-114.5283,327.5,5.01936799
35.19062,-114.5273,332.2,4.940094709
35.1907,-114.5263,338.4,4.908857236
35.19079,-114.52529,340.7,4.878120315
35.19086,-114.52431,349.9,4.860478722
35.1909,-114.52332,353.9,4.886131113
35.19092,-114.52231,354.1,4.920168148
35.19093,-114.5213,356.7,5.043805795
35.19095,-114.52028,364.2,5.199858989
35.19097,-114.51927,366.2,5.281078116
35.1909599,-114.51868,372.1,5.354982593
35.19091,-114.51807,374.1,5.350818302
35.19083,-114.51741,379.1,5.321780156
35.19074,-114.51688,380.6,5.371539478
35.19059,-114.51624,385.3,5.373389238
35.19037,-114.51544,391.2,5.423250574
35.19008,-114.51445,392.9,5.432871748
