Latitude,Longitude,Elevation,Grade(%)
35.98691,105.64575,1979.1,5.608026186
35.98665,105.64482,1984.3,5.324438408
35.9864,105.64388,1994.1,5.051245713
35.98614,105.64295,1998.3,4.792141972
35.98589,105.64201,2000.1,4.550546885
35.98563,105.64108,2007.3,4.329493382
35.9854,105.64003,2013.7,4.131533778
35.9851699,105.63899,2014.4,3.958668396
35.98495,105.63795,2015.9,3.812298267
35.98469,105.63728,2016.6,3.693201569
35.98468,105.63677,2019.5,3.601531811
35.9846999,105.63585,2023.7,3.536834601
35.98471,105.6349199,2020.8,3.498079195
35.98472,105.634,2025.1,3.483700753
35.98474,105.63307,2030.7,3.491649463
35.98449,105.6322,2031.6,3.519443075
35.98448,105.63118,2039.4,3.450344682
35.9844099,105.63093,2038.3,3.31480611
35.98391,105.63026,2037.5,3.260918653
35.98341,105.62958,2041.9,3.197128306
35.98321,105.62923,2044.3,3.13211907
35.98301,105.62861,2048.5,3.234078862
35.98281,105.62799,2052.4,3.628380143
35.98224,105.6271299,2054.9,4.179479064
35.98168,105.62627,2063.8,4.720440676
35.98111,105.62541,2071.6,5.188049702
35.98091,105.62529,2070.8,5.615436792
35.98062,105.62523,2072,5.872314012
35.97992,105.62522,2075.9,5.923159455
35.9797,105.62513,2077.2,5.859998971
35.97907,105.62481,2081,5.724030355
35.97844,105.62449,2081.1,5.442332926
35.9778,105.62418,2087.3,5.12906755
35.97717,105.6238599,2098.3,4.619876721
35.97687,105.62385,2101.9,3.970521577
35.97654,105.62358,2108.6,3.29625895
35.97618,105.62309,2117.3,2.581935704
35.97572,105.6223,2122.8,1.897259199
35.97527,105.62151,2111.7,1.298703765
35.97487,105.62076,2096.9,0.683204634
35.9745599,105.6203,2090.7,0.145208725
35.9742,105.6198299,2084.3,-0.232660874
35.97404,105.61968,2081.7,-0.722617462
35.97359,105.61958,2081,-1.266994449
35.97314,105.61948,2078.4,-1.822361499
35.97227,105.61948,2075.1,-2.323228502
35.9714,105.61947,2071.2,-2.803036855
35.9705299,105.61947,2069.4,-3.31210707
35.97004,105.6193399,2068,-3.750463521
35.96976,105.61917,2068.1,-4.009678813
35.96941,105.61869,2068.8,-4.105756389
35.96924,105.61832,2068.5,-3.976088532
35.96919,105.61785,2070,-3.638447661
35.96925,105.6172,2070.2,-3.164634505
35.96948,105.61667,2067.2,-2.76857191
35.96975,105.6164,2066.6,-2.48241638
35.9700599,105.61612,2065.3,-2.299897053
35.97083,105.6159,2053.1,-2.243166124
35.9716,105.61567,2049.7,-2.31083076
35.97209,105.61549,2049.5,-2.340953899
35.97257,105.6153099,2049.3,-2.354351243
35.97323,105.61509,2045.4,-2.373020162
35.9735299,105.61491,2044.7,-2.44658448
35.97415,105.61438,2043.7,-2.515204212
35.97477,105.61386,2043.5,-2.549622207
35.9754,105.61333,2042.3,-2.568008189
35.97602,105.6127999,2040,-2.553579608
35.97664,105.61227,2037.5,-2.482136504
35.97726,105.61174,2037,-2.286946692
35.97757,105.61132,2036.4,-2.066730688
35.97771,105.61093,2035.8,-1.893013825
35.97776,105.61045,2033.1,-1.670061542
35.97766,105.60996,2032.4,-1.436556974
35.97739,105.60951,2033.2,-1.357970839
35.9769,105.60896,2034.7,-1.363096419
35.97642,105.60842,2033.8,-1.369127527
35.97594,105.60787,2030.6,-1.331739689
35.97531,105.60744,2029,-1.330885617
35.97468,105.60702,2030.9,-1.286732324
35.97405,105.60659,2031.4,-1.230308213
35.97343,105.60617,2029.1,-1.086238994
35.97276,105.60584,2030.2,-0.864808745
35.9721,105.60552,2031.9,-0.758501286
35.97182,105.60533,2031.3,-0.670649333
35.9715599,105.60506,2029.6,-0.491122838
35.97106,105.60428,2029.9,-0.266342419
35.97082,105.60404,2030.4,-0.049370245
35.9703,105.6037,2028.4,0.105849452
35.9697,105.60338,2026.7,0.313790763
35.96909,105.60306,2027.2,0.630386656
35.9682699,105.60302,2032.9,1.009229916
35.96744,105.60298,2037.8,1.42561312
35.96667,105.60306,2040.1,1.810497893
35.96589,105.60315,2044.9,2.129147719
35.96511,105.60323,2046.8,2.451855613
35.9643299,105.60332,2051.9,2.775676479
35.96374,105.60296,2051.9,3.096749827
35.9634799,105.60259,2050.7,3.5151593
35.96336,105.60183,2060.4,4.006008605
35.96362,105.601,2067.8,4.54515526
35.96408,105.60053,2069.2,4.985567191
35.96455,105.60006,2072,5.274024081
35.96501,105.59958,2077.9,5.487890804
35.96521,105.59892,2084.5,5.677864983
35.96522,105.59851,2086.5,5.833529731
35.96502,105.59783,2087.7,5.890884421
35.9647,105.59718,2090.9,5.824519346
35.96436,105.59617,2093.1,5.655433301
35.96402,105.59516,2096.5,5.329222826
35.96374,105.59484,2100.4,4.941174956
35.9635,105.59475,2103,4.457476131
35.96269,105.59453,2111.4,3.876943639
35.9618899,105.5943099,2116.6,3.138840755
35.96161,105.59414,2116.1,2.289743794
35.9612,105.59348,2114.1,1.531780025
35.96079,105.59282,2106.8,0.803520704
35.96061,105.59232,2104.5,0.03109402
35.96052,105.59129,2108.9,-0.732471016
35.96043,105.59026,2109.5,-1.465417275
35.96043,105.58925,2099.4,-2.12640468
35.96033,105.58884,2093.3,-2.788697296
35.9601,105.58814,2085,-3.452228144
35.95987,105.58744,2081.5,-4.109094156
35.95966,105.58714,2079.1,-4.8064337
35.95934,105.58686,2077.7,-5.491277053
35.95872,105.5865199,2072.1,-6.000018799
35.95809,105.58618,2066,-6.385325968
35.95746,105.5858499,2063.7,-6.619224438
35.9568299,105.58551,2063,-6.654206418
35.95634,105.58478,2057.4,-6.655097053
35.95638,105.5839,2051.4,-6.550525066
35.95681,105.5832,2046.2,-6.563196939
35.9572999,105.58288,2041.9,-6.621929855
35.95778,105.58257,2035.9,-6.547672524
35.95814,105.58221,2032.2,-6.300950239
35.9585,105.58184,2027.9,-6.047817167
35.9589799,105.5814,2024.1,-5.853867256
35.95947,105.58095,2018.4,-5.679665659
35.95995,105.58051,2014.9,-5.534557302
35.96058,105.58006,2014.2,-5.539789091
35.96121,105.57962,2013.5,-5.651364119
35.96161,105.57949,2009.8,-5.779432699
35.96214,105.57905,2008,-5.839487975
35.96266,105.57861,2005.9,-5.955141678
35.96334,105.57831,1997.3,-6.074912753
35.96401,105.57802,1993.9,-6.097009936
35.96468,105.57772,1983.8,-5.969393787
35.96502,105.57692,1983.1,-5.907136132
35.96535,105.57613,1984.2,-6.014465672
35.96569,105.57534,1982.6,-6.161015496
35.96584,105.57429,1973,-6.260233687
35.96586,105.5737,1967.5,-6.318446456
35.96587,105.57311,1960.7,-6.410692505
35.9658299,105.5724,1949.9,-6.409779095
35.96579,105.57169,1942.4,-6.320823232
35.96568,105.57069,1941.7,-6.113216487
35.96556,105.56968,1946,-5.778774577
35.96545,105.56868,1942.7,-5.478570182
35.96533,105.56767,1930.5,-5.158341388
35.96522,105.56667,1932.8,-4.794721054
35.96511,105.56562,1937.7,-4.481416857
35.965,105.56458,1929.9,-4.225265808
35.96488,105.56353,1911.6,-4.040938885
35.96477,105.5624799,1909.3,-3.759385958
35.96466,105.56144,1920.3,-3.338733022
35.96455,105.56039,1922.9,-2.922610692
35.96444,105.55935,1921.7,-2.603106004
35.9643299,105.5583,1919.1,-2.371708478
35.96407,105.55743,1925.5,-2.290847041
35.96358,105.55717,1922.1,-2.391420067
35.9629199,105.55714,1918.2,-2.600883427
35.96225,105.55712,1913.9,-2.891197239
35.9617999,105.55698,1909.3,-3.072090185
35.96134,105.5568399,1907.3,-3.23462091
35.96068,105.5564,1905.1,-3.490266938
35.96002,105.55596,1900.9,-3.575092547
35.9593599,105.55552,1896.2,-3.547821988
35.95923,105.55513,1897.1,-3.614056138
35.95903,105.55483,1895.8,-3.842976434
35.9587999,105.55457,1893,-4.162816739
35.95824,105.55413,1883.8,-4.347791187
35.95767,105.55369,1880.1,-4.501121175
35.95711,105.55325,1876.8,-4.582808526
35.95679,105.55285,1874,-4.508654965
35.95664,105.55234,1872.9,-4.283587048
35.95662,105.55163,1870.9,-4.062947935
35.95642,105.55091,1867.8,-3.845499399
35.95623,105.55019,1872.2,-3.733648878
35.95604,105.54947,1871.3,-3.715145163
35.956,105.54916,1870.9,-3.668215252
35.95584,105.54894,1870.4,-3.600830829
35.95566,105.54884,1867.9,-3.415716846
35.9551299,105.54832,1863.2,-3.239637973
