Latitude,Longitude,Elevation,Grade(%)
36.66573,101.76454,2258.101123,3.199891572
36.66568,101.76362,2260.732913,3.199887677
36.66564,101.76271,2263.334039,3.199884448
36.66563,101.76203,2265.275153,3.199881956
36.66561,101.7613499,2267.217245,3.199880255
36.66566,101.76026,2270.333297,3.199879377
36.66573,101.75935,2272.942441,3.199879328
36.66581,101.75845,2275.526849,3.199880091
36.66588,101.75754,2278.135988,3.199881624
36.66596,101.75663,2280.748761,3.199883858
36.66598,101.75591,2282.804936,3.199886704
36.6659999,101.75519,2284.86111,3.199894678
36.6659999,101.7546,2286.545021,3.199896501
36.66599,101.75402,2288.200773,3.199899707
36.6659099,101.7529799,2291.182642,3.199904074
36.66584,101.7519499,2294.132888,3.169088056
36.66576,101.75091,2297.114763,3.190598559
36.66569,101.74987,2300.093454,3.235508694
36.66561,101.74884,2303.046925,3.283181048
36.66555,101.74779,2306.051327,3.319230834
36.66549,101.74675,2309.027262,3.334040375
36.66543,101.7457,2312.031668,3.321654054
36.66537,101.7446499,2315.036076,3.278945834
36.66531,101.74361,2318.012019,3.204984227
36.66525,101.74256,2321.016432,3.100546671
36.66526,101.74176,2323.3,2.967736096
36.66526,101.74096,2327.4,2.809709376
36.66527,101.74016,2327.956603,2.63043307
36.6653499,101.73907,2328.71805,2.434503958
36.66542,101.73799,2329.471821,2.227019486
36.6655,101.73691,2330.226338,2.013466365
36.66558,101.73583,2330.980856,1.799635735
36.66566,101.73475,2331.735372,1.591557625
36.66573,101.73366,2332.496074,1.3954392
36.66581,101.73258,2333.250589,1.217653007
36.66589,101.7315,2334.005103,1.064668279
36.66597,101.73042,2334.759616,0.943047468
36.66604,101.7293399,2335.513381,0.907163738
36.66612,101.72826,2336.267892,0.879175612
36.6662,101.72717,2337.029331,0.857345794
36.66628,101.72609,2337.783841,0.840318954
36.66635,101.72501,2338.537603,0.827038331
36.66643,101.72393,2339.292112,0.816679707
36.66651,101.7228499,2340.04662,0.80860015
36.66659,101.72176,2340.808054,0.802298243
36.66666,101.72068,2341.561813,0.797382889
36.66674,101.7196,2342.316319,0.793549031
36.66682,101.71852,2343.070824,0.714296664
36.6669,101.71744,2343.825328,0.786144006
