Latitude,Longitude,Elevation,Grade(%)
44.4883,-108.04444,1164.3,0.974272786
44.48822,-108.04369,1163.6,1.372096347
44.48816,-108.04294,1164.6,1.741427366
44.48813,-108.04179,1184.8,2.081685178
44.48814,-108.04116,1185.7,2.392384073
44.48815,-108.04053,1187.9,2.673138374
44.48818,-108.04018,1189,2.923667235
44.48829,-108.03917,1191,3.143799162
44.48844,-108.03823,1193.4,3.333476207
44.48855,-108.03766,1195.4,3.492757848
44.48879,-108.03656,1196.6,3.621824505
44.48903,-108.03545,1194.8,3.720980711
44.48928,-108.03435,1197.4,3.790657903
44.48952,-108.03324,1203.1,3.831416837
44.48977,-108.03213,1206.9,3.843949626
44.49001,-108.03102,1210.5,3.829081385
44.49026,-108.02991,1213.8,3.787771492
44.49051,-108.0288,1217.3,3.721114475
44.49075,-108.02769,1220.7,3.630340516
44.491,-108.02658,1223.8,3.516815586
44.49124,-108.02547,1225.5,3.382041227
44.4915,-108.02435,1226.8,3.227653984
44.49176,-108.02322,1227,3.05542451
44.49204,-108.02206,1226,2.85245215
44.49235,-108.02097,1226.9,2.632923351
44.49266,-108.01987,1229.7,2.410042184
44.49297,-108.01878,1232.2,2.235769398
44.49328,-108.01768,1235.1,2.054933817
44.49359,-108.01659,1236,1.870934671
44.49382,-108.01542,1234.8,1.701840563
44.49388,-108.01496,1233.4,1.536343459
44.49396,-108.01403,1230.7,1.377371179
44.49397,-108.01305,1228.3,1.227084694
44.49396,-108.01201,1225.8,1.076851923
44.49396,-108.01097,1222.8,0.915798617
44.49396,-108.00993,1219.6,0.75739364
44.49396,-108.00888,1216.2,0.612755726
44.49395,-108.00781,1214.1,0.474931183
44.49394,-108.00673,1214.3,0.347142713
44.49394,-108.00566,1213.7,0.229486959
44.49393,-108.00458,1216,0.121381643
44.49392,-108.00345,1217.6,0.024545346
44.49392,-108.00231,1216,-0.064103871
44.49392,-108.00118,1214.3,-0.143895045
44.49391,-108.00005,1216.7,-0.213832343
44.49391,-107.99892,1217.2,-0.277053734
44.49391,-107.99772,1216.6,-0.336064846
44.49391,-107.99652,1213.8,-0.387914419
44.49391,-107.99533,1214.1,-0.422964939
44.49391,-107.99413,1215,-0.446139766
44.49391,-107.99294,1218.1,-0.457353807
44.49391,-107.99174,1214.9,-0.452911564
44.49391,-107.99054,1213.8,-0.436433483
44.49391,-107.98935,1212.2,-0.412515974
44.49391,-107.98815,1210.9,-0.394339542
44.49391,-107.98696,1209.9,-0.38055637
44.49391,-107.98576,1209.5,-0.366715439
44.49391,-107.98457,1208.8,-0.35197989
44.49393,-107.98353,1207.8,-0.339907546
44.49396,-107.98302,1207.8,-0.333441466
44.49406,-107.98221,1207.2,-0.328017022
44.49415,-107.98169,1206.8,-0.316600769
44.49429,-107.98111,1206.8,-0.293389378
44.49456,-107.98029,1206.7,-0.253655984
44.49482,-107.97965,1207.6,-0.211895457
44.49502,-107.97924,1207.8,-0.177455063
44.49542,-107.97856,1207.8,-0.151359105
44.49568,-107.97819,1207.9,-0.122107959
44.49594,-107.97787,1207.9,-0.095057188
44.4963,-107.97747,1208.4,-0.083131779
44.49689,-107.97688,1208,-0.093205136
44.49747,-107.97629,1209.4,-0.099818921
44.49806,-107.9757,1212,-0.097921795
44.49876,-107.97497,1212.3,-0.098660991
44.49937,-107.97422,1211.7,-0.098955497
44.49996,-107.9733,1209.5,-0.097896869
44.50031,-107.97261,1211.3,-0.096901593
44.50067,-107.97191,1213.3,-0.089653207
44.50103,-107.97121,1214.1,-0.084715434
44.50152,-107.9703,1213.8,-0.074561206
44.50201,-107.96938,1213.9,-0.052512545
44.5025,-107.96846,1214.3,-0.012272067
44.50299,-107.96755,1213.9,0.036657072
44.50345,-107.96663,1212.9,0.084825963
44.50391,-107.96571,1208,0.148185133
44.50436,-107.96479,1203.2,0.215843819
44.50482,-107.96387,1202.5,0.28897694
44.50528,-107.96295,1202.1,0.35181063
44.50545,-107.96258,1202,0.40346924
44.50574,-107.96205,1201.9,0.44401931
44.50602,-107.96151,1202.1,0.473092838
44.50623,-107.96116,1204.1,0.49102941
44.50654,-107.96074,1207.8,0.510999986
44.50698,-107.96021,1208.8,0.532083764
44.50731,-107.95989,1208.9,0.555087825
44.50779,-107.9595,1214.1,0.578059908
44.50836,-107.95912,1215.2,0.596860447
44.50894,-107.95877,1217.5,0.611827841
44.50952,-107.95842,1220,0.617068258
44.51009,-107.95808,1220.8,0.625720951
44.51052,-107.95779,1223.5,0.640839654
44.51095,-107.9575,1225.1,0.655924815
44.51155,-107.95695,1224.7,0.669866942
44.51216,-107.9564,1220.5,0.685159995
44.5129,-107.9557,1218.8,0.703473103
