Latitude,Longitude,Elevation,Grade(%)
37.27779,-106.984,2184.2,-1.209049955
37.27828,-106.9835,2184.8,-0.885452743
37.27883,-106.98297,2185.5,-0.576099746
37.27949,-106.98246,2186.3,-0.283167785
37.28015,-106.98201,2186.2,-0.008686873
37.28081,-106.98156,2185.9,0.245495023
37.28148,-106.98111,2186.5,0.477744066
37.28215,-106.98071,2187.4,0.686668779
37.28283,-106.98031,2188.3,0.87114389
37.2834999,-106.9799,2189,1.030329428
37.28426,-106.97944,2187.9,1.163684913
37.28503,-106.97897,2183.8,1.270978625
37.2857399,-106.97847,2186.3,1.352292118
37.28645,-106.97797,2187.8,1.408020282
37.28717,-106.97747,2189,1.438867344
37.28788,-106.97697,2196.1,1.445839305
37.28859,-106.97647,2196.5,1.430233339
37.2893,-106.97597,2197.6,1.393624712
37.29002,-106.97548,2199,1.337851786
37.29049,-106.9751,2199.9,1.264999626
37.29107,-106.97476,2200.4,1.177382716
37.29164,-106.97442,2201.4,1.074495128
37.29235,-106.97409,2203.2,0.967497
37.2930599,-106.97377,2205,0.89115683
37.29377,-106.97345,2205.9,0.853496788
37.29448,-106.97313,2206.7,0.790672616
37.29524,-106.97296,2205.4,0.740426543
37.29601,-106.97262,2211.1,0.718664468
37.29679,-106.97229,2211.4,0.720123068
37.29757,-106.97196,2210.3,0.750380861
37.29834,-106.97163,2211.1,0.780902958
37.29912,-106.9713,2206.9,0.801855963
37.2999,-106.97096,2204.3,0.809160869
37.3006699,-106.97063,2199.7,0.835937575
37.30145,-106.9703,2197.6,0.845339121
37.30223,-106.96997,2197.1,0.840177585
37.303,-106.96964,2197,0.875377696
37.30369,-106.96936,2198.4,0.909787844
37.30442,-106.96904,2202,0.947221123
37.30515,-106.96872,2205.1,0.987490185
37.30567,-106.96852,2208.5,1.032354669
37.30619,-106.96831,2212.2,1.074282304
37.30691,-106.96798,2217.7,1.119641215
37.30763,-106.96765,2218.6,1.16473647
37.30803,-106.96738,2217.8,1.209002194
37.30867,-106.96687,2224.6,1.257193555
37.3093,-106.96637,2226.6,1.300824408
37.3098,-106.9661,2226.6,1.327728972
37.3103,-106.96583,2226.7,1.385171084
37.31077,-106.9657,2225.6,1.438237464
37.31124,-106.96557,2226.5,1.47743611
37.31185,-106.9654599,2227.3,1.51993934
37.31245,-106.96536,2225.7,1.53587483
37.313,-106.9653,2224.3,1.533264534
37.31377,-106.96515,2226.7,1.491967069
37.31429,-106.965,2228.4,1.421140494
37.31481,-106.96486,2228.9,1.331668816
37.31561,-106.96458,2229.3,1.224149144
37.31641,-106.9643,2229.6,1.11842846
37.31721,-106.96402,2230.1,1.025122628
37.31801,-106.96375,2230.1,0.93823432
37.31881,-106.96347,2230.4,0.842919148
37.31961,-106.96319,2230.2,0.744807563
37.32042,-106.9629099,2231.3,0.653441216
37.3212199,-106.9626399,2232.9,0.550234709
37.32202,-106.96236,2232.9,0.432358214
37.32282,-106.96208,2234.1,0.347527327
37.32308,-106.96193,2234.4,0.274041462
37.32343,-106.96183,2234.8,0.227092594
37.3242,-106.9613,2236,0.20322653
37.32465,-106.9608,2236.9,0.161399292
37.32509,-106.9603,2237.2,0.148808652
37.3254499,-106.95994,2236.9,0.173689083
37.32582,-106.95957,2236.3,0.207854547
37.32639,-106.95894,2235.5,0.246329712
37.32696,-106.95832,2235.2,0.30830224
37.32753,-106.95769,2234.5,0.401487881
37.3281,-106.95707,2233.8,0.522256361
37.3286299,-106.95656,2231.649595,0.662737708
37.32917,-106.95595,2229.31066,0.769590909
37.32976,-106.95531,2226.8,0.85326128
37.33029,-106.9547599,2228.6,0.926418425
37.33082,-106.95421,2231.6,1.007960465
37.33135,-106.95366,2235.4,1.106049487
37.33188,-106.95311,2238.9,1.209126904
37.33243,-106.95248,2241.7,1.278943478
37.33297,-106.95184,2247,1.341097019
37.33352,-106.95121,2252.2,1.413459358
37.33406,-106.95057,2253.6,1.492602173
37.3346,-106.94984,2255.2,1.567774979
37.33513,-106.9491199,2261.1,1.645400139
37.3355,-106.94847,2263.3,1.691283455
37.33587,-106.9478199,2263.7,1.712907246
37.3362399,-106.94717,2264.1,1.724642262
37.33657,-106.9464799,2264.3,1.758699472
37.3369,-106.94579,2265.3,1.811341546
37.33715,-106.9451,2265.1,1.897900225
37.33739,-106.94441,2263.1,2.00097081
37.33764,-106.94373,2260.5,2.078674993
37.33804,-106.94273,2265.3,2.117596653
37.33843,-106.94173,2270.1,2.122930342
37.33883,-106.94074,2273.2,2.092326975
37.33922,-106.93974,2273.4,2.038262175
37.3396199,-106.93875,2270.5,1.980884549
37.34001,-106.93775,2269.7,1.918846787
37.34041,-106.93676,2276.7,1.849961832
37.3408,-106.93576,2279.1,1.783934742
37.3412,-106.93477,2279.7,1.792656914
37.34151,-106.93395,2280,1.790889735
37.34183,-106.93314,2281.7,1.757759972
37.34214,-106.93232,2282.8,1.698662599
37.34246,-106.93151,2289.6,1.623965253
37.34277,-106.93069,2296.6,1.528622879
37.34313,-106.9298,2302.6,1.412315198
37.34348,-106.9289,2303,1.280312796
37.34384,-106.92801,2302.6,1.141946678
