Latitude,Longitude,Elevation,Grade(%)
46.83581,-71.26282,16.8,-0.344339748
46.83638,-71.26336,17.3,-0.308419407
46.83695,-71.26391,17,-0.260789722
46.83769,-71.26454,15.9,-0.200590935
46.83843,-71.26518,15.8,-0.127188757
46.83917,-71.26581,17,-0.040196183
46.83973,-71.2663199,16.7,0.060517519
46.8403,-71.26683,17,0.174829787
46.8409199,-71.26741,19.1,0.264773783
46.84154,-71.26799,19.3,0.455082822
46.84216,-71.26857,19.5,0.640144759
46.84278,-71.26916,19.3,0.751380211
46.8434,-71.26974,20.5,0.864919773
46.84391,-71.27029,23.5,1.052576769
46.84442,-71.27084,23.9,1.27798822
46.84493,-71.2713799,26.3,1.538170217
46.84544,-71.27201,26.9,1.933693344
46.84596,-71.27264,28.9,2.336478609
46.84643,-71.2732599,32.5487425,2.784965502
46.84695,-71.27403,36.8146756,3.246456311
46.84751,-71.27482,41.3,3.602110018
46.8480599,-71.27561,45.6,3.99794522
46.8486199,-71.27639,50.7,4.331041063
46.84917,-71.27718,54.7,4.61794337
46.84973,-71.27784,60,4.719381291
46.85032,-71.27861,63.9,4.704634275
46.85089,-71.27916,65.5,4.671815395
46.85146,-71.27972,70.4,4.640507836
46.85203,-71.28028,74,4.667841183
46.8526,-71.28083,76.5,4.75177378
46.85308,-71.28126,79.1,4.896861111
46.85356,-71.2817,83.0926679,5.102095454
46.85418,-71.28222,88.1299879,5.23381532
46.85488,-71.28288,94,5.297380677
46.85558,-71.28353,100.2,5.134253806
46.85628,-71.28418,104.7,4.877556069
46.85698,-71.2848,107.9,4.564402731
46.85768,-71.28541,110.3,4.164601046
46.85837,-71.28603,108.7,3.830485847
46.859,-71.28653,111.1,3.506716737
46.85964,-71.28702,111.6,3.259117614
46.86027,-71.28752,114.2,3.020718711
46.86104,-71.28809,118.8,2.844935474
46.8618,-71.28865,122.5,2.721670054
46.86257,-71.28922,126.8,2.542599199
46.86334,-71.28979,125.5,2.390542012
46.8641099,-71.29036,126.4,1.919039635
46.86473,-71.29088,124.7,1.325003134
46.86536,-71.29141,124.3,0.594022103
46.86598,-71.2919299,123.1,-0.147412277
46.86671,-71.29263,119.6,-0.817618035
46.86744,-71.29333,117.9,-1.345899623
46.86816,-71.29403,111.1,-1.605447594
46.86889,-71.29473,110.2,-1.764876618
46.86961,-71.29543,109.1949378,-1.778782907
46.86989,-71.2957,108.8050563,-1.725547615
46.87061,-71.2964,107.8,-1.57585465
46.8713399,-71.2971,108.4,-1.328590366
46.87207,-71.2978,109,-1.066889683
46.8728,-71.29849,107.9,-0.743583514
46.87352,-71.29919,107,-0.582040029
46.87425,-71.29989,107,-0.43457973
46.87498,-71.30059,107,-0.24400645
46.87571,-71.30128,108,-0.114928187
46.87643,-71.30198,108.4,-0.082363355
46.87716,-71.30268,109,-0.023319764
46.87789,-71.30338,109,0.090251256
46.87862,-71.30407,109.9,0.205317086
46.87934,-71.30477,111.1,0.306986562
46.88007,-71.30547,109.4,0.463342972
46.8808,-71.30616,110.3,0.69778281
46.88141,-71.30673,113.1,1.037770949
46.88203,-71.3073,115.3,1.437364267
46.88246,-71.30767,116.9,1.874181513
46.88309,-71.30813,119.8,2.326855001
46.88371,-71.30859,124,2.80922056
46.88425,-71.30895,127.4,3.262410717
46.88494,-71.30937,131.2,3.705640211
46.88563,-71.3098,134.8,4.242594041
46.88632,-71.31023,138.9,4.702282079
46.8870099,-71.31065,143.75759,4.990533936
46.88773,-71.3111,148.8466276,4.990210649
46.88849,-71.31162,154.3,4.821170746
46.88926,-71.31213,162.6,4.545962719
46.89003,-71.31265,166.3,4.209808509
46.89079,-71.31316,163.3,3.834593232
46.89159,-71.31367,163,3.452292178
46.89239,-71.3141799,162.9,3.105278372
46.89319,-71.31469,167.2,2.833503401
46.89399,-71.3152,169.9,2.64180751
46.89479,-71.31572,173.5878413,2.523516275
46.89505,-71.31589,174.7875592,2.621262681
46.89581,-71.3163,178.2,2.914911581
46.89612,-71.3164199,179.3,3.046117973
46.89655,-71.31655,180.4,3.121536481
46.89712,-71.31665,181.5,3.042717525
46.8977,-71.31669,182.6,2.835876878
46.8985399,-71.31672,185.2,2.411764216
46.89938,-71.31674,187.8,1.809089322
46.90006,-71.31674,186.4,1.044916503
46.90075,-71.31674,186.5,0.208516717
46.90146,-71.31672,182.7,-0.576673372
46.90217,-71.3167,177.7,-1.264868875
46.90289,-71.31669,173.3,-1.895482675
46.9036,-71.31667,170,-2.363772083
46.90398,-71.31663,168.7,-2.526725077
46.90451,-71.31661,168.5,-2.333936448
46.9050299,-71.31659,169.2,-1.922385771
46.90541,-71.3165999,169.2,-1.292875573
46.90576,-71.31664,169.1,-0.583881624
46.90616,-71.31675,170.7,0.082829507
46.90652,-71.31689,172.2,0.563735772
46.90685,-71.31708,173,0.906180212
46.90713,-71.31729,173.4,1.125573663
46.90749,-71.3176,173.6,1.170191934
46.90778,-71.31792,174.2,1.05658592
46.90806,-71.31828,174,0.792152218
46.90838,-71.31887,172.9,0.293069847
46.90864,-71.3194,173.3,-0.210961979
46.90883,-71.31996,172.5,-0.664733764
46.90898,-71.32051,170.3,-1.054884217
46.9092399,-71.32163,167.5,-1.387951209
46.90951,-71.32275,165.6,-1.595370165
46.90977,-71.32387,162.6,-1.654158545
46.91004,-71.32499,163,-1.626346027
46.9103,-71.32611,162,-1.60254551
46.91057,-71.32722,161.5,-1.482880477
46.91083,-71.32834,161,-1.269025109
46.9110299,-71.32945,161.5,-1.103146815
46.9111,-71.3301199,160.5666409,-1.027113024
46.91115,-71.33054,159.9795593,-1.087713066
46.91119,-71.33103,159.3,-1.253440914
46.91127,-71.3319,159.3,-1.292866403
46.91136,-71.33278,159.7,-1.147447339
46.91145,-71.33365,158.7,-0.730446846
46.91155,-71.33456,157.7,0.071650928
46.91169,-71.33557,158.7,1.151207464
46.91177,-71.33598,161,2.285313171
46.91205,-71.33692,168.9,3.470506251
46.91222,-71.33733,173,4.649659036
46.9124399,-71.33783,178.3,5.816701674
46.91284,-71.3385,185.9,6.875386955
46.91316,-71.33895,188.6,7.661353339
46.9135,-71.33933,191.7,8.088438361
46.91396,-71.33976,197.8,8.150272995
46.91442,-71.3400599,202.6,7.959378894
46.91495,-71.34031,207.2,7.638074853
46.9154,-71.34045,210,7.181707822
46.91612,-71.34053,214.4,6.844908286
46.9168499,-71.34062,218.8,6.710753398
46.91757,-71.3407,222.4,6.556812344
46.91829,-71.34078,225.5,6.191531584
46.91913,-71.34086,229.6,5.62054724
46.91997,-71.34094,233.1,4.873350541
46.92081,-71.34102,240.5,3.878848222
46.92165,-71.3411,242.1,2.611996093
46.92249,-71.34118,237.9,1.252872058
46.92303,-71.34121,232.3,-0.001683272
