Latitude,Longitude,Elevation,Grade(%)
37.90603,-4.75424,125.8,5.872409326
37.90625,-4.75426,127.378512,5.607979493
37.9065,-4.75425,129.1685698,5.356674316
37.90675,-4.75422,130.9657385,5.135362249
37.90707,-4.7541399,133.3,4.956250454
37.90758,-4.75396,136.3,4.826124305
37.9081,-4.75379,137.6,4.74690366
37.90862,-4.75356,139.3,4.716791288
37.90905,-4.7534,140.1,4.731452719
37.9095,-4.75317,142.2,4.784959249
37.90975,-4.75308,144,4.837672137
37.91012,-4.75298,146.8,4.989822658
37.91052,-4.75294,150.3,5.227642141
37.91102,-4.75294,154.6,5.407656086
37.91154,-4.75304,159.7,5.607586012
37.91219,-4.75333,161.2,5.793345231
37.9126,-4.75358,161,5.850722589
37.91288,-4.75382,163.9,5.782141428
37.91316,-4.75411,166.9,5.477750449
37.91344,-4.75447,169.5,4.760882604
37.91368,-4.75485,171.5,4.252807673
37.91392,-4.75533,173.1,3.585727273
37.91409,-4.75579,173.8,2.999062469
37.91424,-4.75625,175.5,2.496088014
37.91439,-4.7568,176.9,2.124266351
37.91457,-4.7573299,177.6,1.637639015
37.91481,-4.75785,177.2,0.781852489
37.91507,-4.7583,176.1,0.188478935
37.91545,-4.75881,174.2,-0.018557822
37.91584,-4.75918,176.9,-0.000811983
37.91615,-4.75943,175,0.198532279
37.9167,-4.7597699,176.3,0.336696067
37.91687,-4.7598,176.3,0.297904813
37.91701,-4.7598399,176.3,0.228719112
37.91726,-4.75997,176.5,0.080454244
37.91799,-4.76035,176,-0.073475572
37.91871,-4.76073,180.3,-0.251348537
37.91943,-4.76112,183.2,-0.435790028
37.91952,-4.76114,183.1,-0.62927705
37.91964,-4.76113,182.8,-0.420459771
37.91967,-4.76108,182.5,-0.330985579
37.91975,-4.76101,182.1,0.072972189
37.9198499,-4.761,181.9,0.467682611
37.91993,-4.7610599,181.9,0.64952634
37.91996,-4.76112,182.1,0.887273923
37.91998,-4.76126,182.6,1.133454153
37.91996,-4.76135,183,1.643579514
37.9199,-4.76141,183.4,2.236788014
37.91988,-4.76169,184.5,2.864434167
37.91991,-4.76198,185.4,3.33807237
37.92004,-4.76254,187,3.449603529
37.9202,-4.76303,186.3,3.353625098
37.92036,-4.76334,186.3,3.125923783
37.92069,-4.7638299,189.6,2.791563236
37.92095,-4.7641099,190.9,2.445544794
37.9212,-4.76436,191.9,2.211299315
37.92163,-4.76468,193.2,2.222127248
37.92234,-4.76515,196.9,2.529030657
37.92295,-4.76535,197,3.031361093
37.9236099,-4.76553,198,3.547725615
37.92412,-4.76563,199.7,3.469856754
37.92463,-4.7657299,201,2.640916084
37.92532,-4.76588,202.7,1.362455112
37.92602,-4.76603,205.3,0.695251516
37.92672,-4.76618,209.7,0.320919757
37.92742,-4.76633,213.4,-0.04740811
37.9280199,-4.76639,214.3,-0.380540193
37.92861,-4.76644,211.3,-0.512962844
37.92933,-4.7664,203.6,-0.422381379
37.92986,-4.76633,195.4,-0.167624731
37.93039,-4.7662699,194.5,0.366379359
37.93118,-4.76606,200.6,0.93717054
37.93172,-4.76588,209.3,1.473873739
37.93226,-4.76571,210.4,2.1633693
37.93305,-4.76532,211.6,3.527273258
37.93385,-4.76493,217.7,5.312757704
37.93465,-4.76454,225.8,6.930150445
37.93545,-4.76414,235.2,7.894933855
37.93624,-4.76375,240.2,7.56383691
37.93704,-4.7633599,245.8,6.090197247
37.93784,-4.76297,248.7,4.217842987
37.9386,-4.7627,253.9,2.861916204
37.93929,-4.7625,261.2,1.841446081
37.9398399,-4.76241,266.5,0.519211838
37.94029,-4.76238,264,-0.839935394
37.94074,-4.76236,257.6,-1.981142729
37.94119,-4.76238,251,-2.543023596
37.94164,-4.76241,244.6,-2.804670249
37.9422,-4.76252,244.5,-3.050340869
37.94276,-4.76264,245.6,-3.056156323
37.9433999,-4.76285,249.6,-2.882800347
37.9442499,-4.7632199,243.4,-2.218768155
37.94496,-4.76363,244.3,-0.967461425
37.94567,-4.76405,248.9,0.692462149
37.94614,-4.76431,250.8,2.025943527
37.94661,-4.76457,253.5,2.84442474
