Latitude,Longitude,Elevation,Grade(%)
47.59308,-68.75894,152.9,-2.550196022
47.59283,-68.7581,151.9,-1.900532162
47.59255,-68.757,151.9,-1.311639181
47.59227,-68.7558899,151.9,-0.810153978
47.59205,-68.75492,151.9,-0.413902848
47.59189,-68.75402,151.9,-0.130419105
47.59173,-68.75311,151.9,0.042995224
47.59155,-68.75194,151.9,0.118120576
47.59137,-68.75077,151.9,0.111817423
47.59119,-68.7496,151.9,0.066818362
47.59101,-68.74842,151.9,0.023825656
47.5908299,-68.7472499,151.9,-0.017653656
47.5906499,-68.74608,151.9,-0.026122439
47.59047,-68.74491,151.9,0.177401825
47.59029,-68.74374,151.9,-0.305438725
47.59015,-68.74259,151.9,-0.344980203
47.59001,-68.74145,151.9,-0.166697491
47.58987,-68.7403,152.4,0.276572994
47.58972,-68.73916,153.3,0.543366551
47.58958,-68.73801,153.9,1.177143628
47.58944,-68.73687,148.9,2.110647273
47.5893,-68.73573,164.5,3.133734861
47.58914,-68.73459,167.2,4.254739882
47.58899,-68.73345,172,5.173603721
47.58883,-68.73231,174.7,5.835824074
47.5886799,-68.73118,187.3,6.190980626
47.58852,-68.73004,193.1,6.270822961
47.58837,-68.7289,196.7,5.913741521
47.5882099,-68.72776,200.8,4.850764086
47.58804,-68.72656,201.2,4.628066579
47.58787,-68.72536,203.8,4.623200915
47.58769,-68.72416,206.3,4.675653867
47.58752,-68.72295,209.9,4.36183828
47.58737,-68.72216,212.3,4.434074752
47.58723,-68.7213699,217.7,4.721156107
47.58705,-68.72062,224.4,4.826967143
47.58688,-68.71987,228.1,5.033773929
47.5865099,-68.71867,228.1,4.929154407
47.58611,-68.71766,228.3,4.762538573
47.58571,-68.71678,232.9,4.704157575
47.58522,-68.71588,237.8,4.534502698
47.58458,-68.71495,239.3,4.196013958
47.58406,-68.71431,244.9,4.126401878
47.58336,-68.7135799,248.6,4.723942945
47.58279,-68.71311,254.9,6.329155928
47.58202,-68.71263,262.7,7.562878285
47.58125,-68.71215,266.2,7.897411564
47.5805099,-68.71176,273.5,7.686386248
47.57978,-68.71138,284.7,7.144007265
47.57904,-68.711,296.8,6.211751179
47.57831,-68.71061,305.4,5.259550654
47.57758,-68.71023,293.9,4.070409836
47.57684,-68.70984,287.1,3.021956468
47.57608,-68.70943,287.3,2.061573616
47.57531,-68.70902,289.9,1.022526128
47.57454,-68.7086,292.2,-0.182697292
47.57378,-68.70819,293,-1.13648978
47.5730099,-68.70778,292.3,-1.515113729
47.57232,-68.70735,292,-1.320093133
47.57162,-68.7069099,288.6,-1.67989935
47.57088,-68.70639,284,-2.332694379
47.57033,-68.70595,277.5,-2.86356023
47.56979,-68.70551,275.5,-3.102910628
47.56923,-68.70498,274.8,-3.031719375
47.56868,-68.70446,274.2,-2.710290658
47.56806,-68.70378,273.9,-2.217400358
47.56744,-68.7031,273.9,-1.533615409
47.56675,-68.70228,273.9,-0.862878801
47.5661,-68.70154,273.9,-0.295810275
47.56551,-68.70086,273.9,-0.114204881
47.56491,-68.70017,273.9,-0.043196827
47.56432,-68.69948,273.9,-0.000917978
47.56373,-68.6988,273.9,0.009325794
47.56313,-68.69811,273.9,0.005595476
47.5625799,-68.69748,273.9,0.003357286
47.56203,-68.69685,273.9,0.002014371
47.56148,-68.69622,273.9,0.001208623
47.5610799,-68.69577,273.9,0.000725174
47.56067,-68.69532,273.9,0.000435104
47.56028,-68.69486,273.9,0.000261063
47.55989,-68.6944,273.9,0.000156638
47.55945,-68.69386,273.9,9.40E-05
47.5590199,-68.69332,273.9,0.015968321
47.55851,-68.69263,273.9,0.262760762
47.55805,-68.69194,273.9,0.361801037
47.55778,-68.6915,273.9,0.264755505
47.55735,-68.69075,273.9,-0.075003165
47.55691,-68.69001,273.9,-0.616458332
47.55653,-68.68926,273.9,-1.282060724
47.55615,-68.6885,273.5,-2.001038464
47.55566,-68.68745,265,-2.716622626
47.55542,-68.68692,262.1,-3.381266149
47.55512,-68.68614,258,-4.036823758
47.55483,-68.68535,254.8,-4.562483188
47.55463,-68.68478,252.9,-4.843937339
47.55438,-68.68397,250.4,-4.81260195
47.55412,-68.68316,247.8923758,-4.360133778
47.55402,-68.68276,246.6998205,-3.57468083
47.55381,-68.68196,244.3,-2.872479923
47.55366,-68.68129,243.9,-2.332874062
47.55351,-68.68062,243.9,-1.897503925
47.55331,-68.67953,243.9,-1.542499976
47.5531099,-68.67845,243.9,-1.504586925
47.55291,-68.67737,241.9,-1.865402949
47.55274,-68.67647,240.2,-2.291526754
47.5525499,-68.67558,236.6,-2.921656062
47.55236,-68.67469,234.4,-3.615171678
47.55207,-68.67348,228.4,-4.143076383
47.55178,-68.67228,219.6,-4.412754106
47.55156,-68.67139,215.8,-4.377486838
47.55134,-68.6705099,215.7,-3.974337331
47.55112,-68.66963,212.8,-3.424838934
47.55083,-68.66856,212.9,-2.605270131
47.55053,-68.66748,212.9,-1.768407466
47.55024,-68.66641,212.9,-1.02315553
47.5499099,-68.6653,212.9,-0.922195433
47.54959,-68.66419,212.5,-1.533443198
47.54927,-68.6631699,210.4,-2.408676908
47.54893,-68.66217,209,-3.154456516
47.5486,-68.66117,203.2,-3.902277258
47.54827,-68.6601699,194.5,-4.39919767
47.54793,-68.65917,184.9,-4.618973096
47.5476,-68.65818,182.3,-4.414732492
47.54723,-68.65705,182.9,-3.850957214
47.54687,-68.65592,182.9,-3.242228013
47.5465,-68.65479,182.9,-2.736767686
47.54613,-68.65366,182.9,-2.157990521
47.54576,-68.6525599,182.9,-1.674076336
47.54539,-68.65145,182.9,-1.450872125
47.54501,-68.65035,178.7,-1.586360294
47.54464,-68.64924,171.8,-1.770311125
47.54427,-68.64814,168.8,-1.740341494
47.54414,-68.64772,168.9,-1.648652446
47.54394,-68.64695,169.6,-1.449047724
47.5438199,-68.64628,170.1,-1.217234857
47.5437,-68.64561,170.3,-0.952323977
47.54362,-68.64505,170,-0.610076164
47.5435299,-68.64409,170,-0.536665069
47.5435,-68.64292,167.7,-0.781464267
47.54349,-68.6417699,166.5,-1.151165758
47.54348,-68.64063,163.9,-1.470888837
47.54346,-68.63949,162,-1.711677307
47.54345,-68.63834,160.3,-1.863886707
47.54338,-68.63753,158.6,-1.868578665
47.54331,-68.6367099,158.8,-1.713058471
47.54322,-68.63605,158.3,-1.40195963
47.54312,-68.6354,157.7,-1.143853543
47.54298,-68.63476,157.1,-0.838767812
47.5428,-68.63405,157,-0.618709383
47.54247,-68.63305,157.9,-0.429409654
47.54228,-68.63253,158.2,-0.289138574
47.54206,-68.63203,157.8,-0.265250128
47.5417599,-68.63142,157.2,-0.229979446
47.5412,-68.6304399,157.4,-0.204391521
47.54064,-68.62945,156.8,-0.219046012
47.54007,-68.6284699,156.8,-0.312793611
47.53951,-68.62749,156.1754711,-0.445983507
47.53918,-68.62691,155.8065143,-0.492962278
47.53873,-68.62611,155.3,-0.483482582
47.53827,-68.62532,155.3,-0.513240457
47.53782,-68.62452,154.6,-0.58903503
47.53739,-68.62367,153.7,-0.625310532
47.537,-68.6228,153.2,-0.65151327
47.5366,-68.62194,153.2,-0.629940169
47.53631,-68.6212,152.6,-0.591334624
47.53605,-68.62049,152.1,-0.538189164
47.5358,-68.61979,151.9,-0.474346039
47.53552,-68.61892,151.9,-0.368567798
47.53517,-68.61773,151.9,-0.270005186
47.53497,-68.61696,151.9,-0.199023268
47.53475,-68.61601,151.9,-0.13814996
47.53458,-68.61519,151.9,-0.057749671
47.53443,-68.6143699,151.9,-0.009784007
47.53429,-68.61354,151.9,0.003628538
47.53413,-68.61225,151.9,0.002177123
47.53396,-68.61096,151.9,0.001306274
