Latitude,Longitude,Elevation,Grade(%)
49.95135,-120.61714,1067.4,4.736397899
49.9508,-120.61697,1067.9,3.497119606
49.95044,-120.61678,1070.2,2.364304698
49.9502499,-120.61665,1071.4,1.400026931
49.95005,-120.61646,1072,0.650548115
49.9497799,-120.61614,1072,0.142878177
49.94946,-120.61561,1071.3,-0.115223831
49.94925,-120.61517,1070.5,-0.132905642
49.94916,-120.61493,1070.1,0.067190743
49.94901,-120.61443,1070.1,0.452421691
49.94895,-120.61418,1070.2,0.983154772
49.94885,-120.61347,1069.5,1.541175677
49.94883,-120.61284,1068.8,1.797907927
49.9488399,-120.61191,1070.7,2.192542319
49.94885,-120.61099,1077.7,2.812889068
49.94889,-120.61009,1088.6,3.457060013
49.949,-120.60904,1093,4.114487756
49.94916,-120.60798,1092.7,4.49875488
49.94932,-120.60693,1093.9,4.812088476
49.94948,-120.60588,1096.9,4.946817538
49.94967,-120.60494,1099.5,4.869180904
49.94989,-120.60403,1100,4.524565914
49.9501,-120.60327,1101.9,4.010921594
49.95032,-120.60251,1107.5,3.516219873
49.95056,-120.60179,1110.7,3.099687908
49.9508,-120.60106,1111.7,2.867901464
49.95123,-120.59989,1114.3,3.027403783
49.95165,-120.59892,1113.3,3.174207954
49.95206,-120.59794,1117.7,3.17235651
49.95241,-120.59717,1117.1,3.072109147
49.95276,-120.5964,1117.1,3.012804006
49.95304,-120.59574,1118.9,3.100055835
49.95331,-120.59508,1123.6,3.106620872
49.9536,-120.59433,1128,2.852736037
49.95382,-120.59365,1128.1,2.426293801
49.95394,-120.59317,1127.6,1.822967833
49.95405,-120.59257,1128.1,1.16169544
49.95415,-120.5918,1128.8,0.536377332
49.95421,-120.59101,1129.7,-0.541363345
49.95422,-120.59035,1129.4,-1.584885282
49.9541899,-120.58964,1129.1,-2.847849109
49.95414,-120.58893,1127.3,-4.159447334
49.95403,-120.58801,1119.6,-5.333065256
49.95397,-120.58767,1115.8,-6.151543877
49.95387,-120.58733,1112.9,-6.739389771
49.95351,-120.58623,1108.8,-7.259794587
49.95338,-120.58586,1107.6,-7.80077738
49.95311,-120.58526,1102.4,-8.10879867
49.9529799,-120.585,1099,-8.18567138
49.95265,-120.58448,1097,-7.996548058
49.9525,-120.58428,1095.5,-7.355411248
49.95219,-120.58391,1094,-6.503697553
49.95165,-120.58336,1090.8,-5.534648129
49.95114,-120.58297,1087.3,-4.82667774
49.95073,-120.58272,1084.1,-4.472278119
49.95014,-120.58245,1081.6,-4.202369059
49.94948,-120.5822,1078.6,-3.829645256
49.94882,-120.58195,1078.5,-3.495980384
49.94816,-120.5817,1076.9,-3.328555949
49.9475,-120.58146,1076.3,-3.557115651
49.94671,-120.58114,1076.5,-3.701821173
49.94593,-120.58082,1068.2,-3.932825297
49.94514,-120.5805,1062.7,-4.332682999
49.94436,-120.58018,1056,-4.920266208
49.94357,-120.57986,1051.6,-5.661560145
49.94327,-120.57972,1050.1,-6.404692909
49.94283,-120.57946,1045.9,-7.099554877
49.94223,-120.57901,1038.6,-7.881852097
49.94183,-120.5786,1035.1,-8.522269688
49.94158,-120.57827,1031.7,-8.851632485
49.94122,-120.57774,1027.3,-8.765617758
49.94086,-120.57701,1019.4,-8.273459727
49.9407,-120.57664,1015.1,-7.768584354
49.94045,-120.57598,1010.8,-7.219407866
49.94026,-120.57531,1008.2,-6.61270312
49.94019,-120.57501,1007.5,-5.759343834
49.94012,-120.57464,1005.7,-4.714870025
49.94003,-120.57398,1003.4,-3.840582615
49.93998,-120.5732,1004.5,-3.187761082
49.93999,-120.57262,1006.6,-2.61819849
49.94003,-120.57199,1007.1,-2.16979523
49.94014,-120.57108,1006.1,-1.687235951
49.94024,-120.57054,1005.2,-1.143593512
49.94035,-120.57004,1004.4,-0.663802378
49.9405,-120.56954,1004.7,-0.130487073
49.94067,-120.56906,1004.6,0.297789059
49.94091,-120.56845,1002.2,0.554045558
49.94116,-120.56784,999,0.452375747
49.94161,-120.5668,998.7,0.121407727
49.94206,-120.56576,1000.8,-0.103212339
49.94229,-120.56515,1003.6,-0.033489478
49.94263,-120.56394,1010.7,0.026350308
49.94283,-120.56307,1015.2,-0.037363423
49.94298,-120.56235,1015.2,-0.230432911
49.94312,-120.56162,1013.3,-0.193062431
49.9432199,-120.56095,1009.6,0.107300742
49.94327,-120.56031,1007.3,0.419640493
49.9433099,-120.55918,1005.7,0.825978005
49.94329,-120.55835,1006.8,1.099107238
49.94326,-120.55788,1007.9,1.336916412
49.94317,-120.55678,1009.8,1.670673036
49.94307,-120.556,1009.5,2.131135974
49.94292,-120.55524,1011.8,2.675469528
49.94277,-120.55447,1016.5,3.428719085
49.94245,-120.5533,1028.3,4.015974995
49.94209,-120.55224,1032.3,4.552908972
49.94174,-120.55136,1034.8,4.697287429
49.94128,-120.5503,1042.7,4.585534549
49.94082,-120.54925,1043.1,4.488265455
49.94037,-120.54819,1044.4,4.351878386
49.93991,-120.54714,1047.3,4.23351063
49.93945,-120.54608,1048.1,4.088902437
49.939,-120.54503,1049.6,3.803797794
49.93872,-120.54444,1052.6,3.569640432
49.93845,-120.54385,1053.9,3.482413197
49.938,-120.54305,1059.5,3.696396953
49.93765,-120.54249,1060.2,3.870888085
49.93716,-120.5418,1065,3.999472189
49.93683,-120.54141,1068.4,4.342003627
49.9363,-120.54086,1069.7,4.58492283
49.93578,-120.54033,1073.3,4.737190551
49.93525,-120.5398,1076.7,4.784062649
49.93466,-120.53926,1080.4,4.682812983
49.93408,-120.53871,1084.1,4.491891363
49.9335,-120.53816,1086.7,4.488786549
49.93275,-120.53744,1090.4,4.233884815
49.93199,-120.53673,1094,4.076265325
49.93124,-120.53601,1098.9,3.863716389
49.93048,-120.53529,1103.8,3.739997851
49.92973,-120.53457,1106.5,3.670344233
49.92908,-120.53394,1108.1,3.546082441
49.92843,-120.53331,1109.6,3.463567632
49.92778,-120.53268,1113.2,3.363481952
49.92714,-120.53205,1116.7,3.247369242
49.92649,-120.53142,1119.9,3.121551241
49.9258,-120.53076,1118,2.918870183
49.9251099,-120.53009,1123.8,2.730578408
49.92442,-120.52943,1127.3,2.453348317
49.92373,-120.52877,1128.4,2.051909441
49.92304,-120.52811,1129.5,1.556511606
49.92235,-120.52745,1132,1.126225005
49.92166,-120.52678,1131.8,0.651837623
49.92098,-120.52612,1130.9,0.067390971
49.92029,-120.52546,1130.2,-0.443219578
49.9196,-120.5248,1129,-0.865072282
49.91908,-120.52431,1127.6,-1.226991783
49.91856,-120.52383,1126.2,-1.750490657
49.91803,-120.52335,1122.4,-2.004634968
49.91729,-120.52263,1118.3,-2.059480072
49.91655,-120.52192,1117.8,-2.064638563
49.91581,-120.52121,1119.7,-1.950194846
49.91533,-120.52073,1117.4,-1.635002712
49.91484,-120.5202,1115.8,-1.267073718
49.91444,-120.51973,1116.1,-0.850046731
49.9140299,-120.51927,1115.8,-0.404858438
49.91376,-120.51891,1115.6,0.020429008
49.9133,-120.51828,1116.2,0.387845584
49.91285,-120.51764,1118.5,0.717249658
49.91247,-120.51707,1119.5,0.782434323
49.91205,-120.5164,1120.1,0.768618484
49.91175,-120.51585,1121.6,0.90366213
49.91145,-120.5153,1122.5,1.289216087
49.91093,-120.5143,1123,1.596782198
49.91041,-120.5133,1124,1.780738135
49.90988,-120.51231,1124,1.925918471
49.90936,-120.51131,1124.2,1.947561766
49.90884,-120.51032,1125.1,1.84204334
49.90831,-120.50929,1126.9,1.843723593
49.90779,-120.50826,1128.8,1.951764025
49.90726,-120.50723,1135.4,2.046969919
49.90673,-120.5062,1140.9,1.937002712
49.9062,-120.50517,1143.4,1.830868403
49.9056799,-120.50417,1142.5,1.75810269
49.90516,-120.50317,1141.8,1.713471593
49.90464,-120.50217,1142.3,1.614800647
49.90412,-120.50117,1143.2,1.670049195
49.90359,-120.50017,1145.9,1.966572348
49.90307,-120.49917,1150.4,2.331677936
49.90255,-120.49817,1149.9,2.643700008
49.90203,-120.49717,1149.5,2.849454656
49.90151,-120.49617,1149.5,3.088794364
49.90099,-120.49517,1155.598392,3.390021455
49.9007099,-120.49458,1159.075837,3.672333225
49.90043,-120.49399,1162.553296,3.981149038
49.90014,-120.49342,1166,4.367325345
49.89985,-120.49286,1172.1,4.692959917
49.8994,-120.49202,1176.8,5.045953586
49.89896,-120.49118,1176.3,5.341445646
49.89851,-120.49034,1176.1,5.760411073
49.89807,-120.4895,1177.7,5.943899278
49.89758,-120.48854,1181.4,5.867698166
49.89708,-120.48758,1188.2,5.520171592
49.89659,-120.48662,1195.8,5.122574803
49.8960999,-120.48566,1205,4.698938756
49.8956,-120.4847,1210.6,4.157314889
49.89511,-120.48374,1212.6,3.569117612
49.89461,-120.48277,1217,3.384284041
49.8941,-120.48181,1217.8,3.259330481
49.89359,-120.48084,1220.6,3.132356891
49.89308,-120.47987,1218.5,2.856227519
49.89258,-120.47891,1217.9,2.474842614
49.8920699,-120.47794,1217.4,2.168566465
49.89156,-120.47697,1217.5,1.836971711
49.89106,-120.47601,1218.5,1.454396515
49.89055,-120.47504,1219.4,1.174059421
49.89005,-120.47402,1224.7,1.042189029
49.88955,-120.473,1231.9,0.860077641
49.88911,-120.47215,1232.9,0.698657135
49.88866,-120.4713,1235.8,0.656534045
49.88815,-120.47033,1233,0.792186637
49.88763,-120.46937,1231.6,0.728613112
49.88712,-120.4684,1230.3,0.433100759
49.88661,-120.46744,1224.2,0.061949162
49.88609,-120.46645,1222,-0.340847358
49.88558,-120.46546,1223.6,-0.716189339
49.88507,-120.46447,1226.5,-1.077400998
49.88456,-120.46348,1225.9,-1.063341399
49.88405,-120.46249,1227.1,-0.639963159
49.88352,-120.46142,1231.5,-0.028528009
49.88315,-120.46058,1230.1,0.739354784
49.88294,-120.46005,1228.1,1.410320351
49.88265,-120.45919,1227.5,2.14597226
49.88245,-120.45851,1230,2.945141032
49.88229,-120.45788,1231.9,3.542055455
49.88214,-120.45718,1234.8,4.062782073
49.882,-120.45647,1238.6,4.47845337
49.88189,-120.45576,1244,4.805949586
49.88181,-120.4551,1247,4.961283764
49.88174,-120.45441,1250,5.097961313
49.88168,-120.45338,1252.9,5.442458789
49.8816599,-120.45268,1256.2,5.772556007
49.88167,-120.45188,1260.7,5.57679212
49.88169,-120.45126,1262.9,5.504829702
49.88174,-120.45067,1264.1,5.602954441
49.88186,-120.44959,1265.9,5.840385038
49.88196,-120.44893,1266.4,6.193424929
49.8821,-120.44812,1269.7,6.528587271
49.88232,-120.4471,1276.6,6.937046124
49.88254,-120.44609,1284.8,7.414525143
49.88272,-120.44541,1290.6,7.803320555
49.88302,-120.44455,1296.2,8.090702238
49.88333,-120.44368,1299.9,8.375949085
49.8836299,-120.44282,1313.7,8.376819326
49.88401,-120.44185,1320.1,8.18396354
49.88439,-120.44087,1327,7.963895364
49.88477,-120.4399,1331,7.688008118
49.88498,-120.43929,1332.4,7.004384577
49.88528,-120.43835,1336.9,6.117012268
49.88553,-120.43734,1342.3,5.269565608
49.88577,-120.43616,1343.7,4.677684985
49.88587,-120.43553,1345.5,4.362835442
49.88599,-120.43465,1346.2,4.059233585
49.88604,-120.43404,1345.5,3.723794291
49.88609,-120.43314,1351.3,3.796714676
49.88608,-120.43212,1357.5,4.088994594
49.88608,-120.4311,1359,4.485759131
49.88608,-120.43008,1358.1,5.050696705
