Latitude,Longitude,Elevation,Grade(%)
58.90122,-123.13049,456.4,-3.738477161
58.90118,-123.1319,452.8,-3.613212606
58.90113,-123.1333,447.9,-3.475981961
58.90108,-123.13471,443.5,-3.326799886
58.90104,-123.13612,442.2,-3.165827216
58.90091,-123.1374,440.5,-2.993373048
58.90078,-123.13869,438.5,-2.809893507
58.90066,-123.13997,436.9,-2.615987451
58.90045,-123.1413,435.9,-2.412389476
58.90025,-123.14263,435.9,-2.19996072
58.90005,-123.14395,436,-1.979677975
58.89972,-123.14549,435.9,-1.75262167
58.8994,-123.14703,434.4,-1.519963258
58.89907,-123.14857,436.8,-1.282952483
58.89875,-123.1501,436.8,-1.042904951
58.89842,-123.15164,436.2,-0.801190338
58.8981,-123.15318,442.5,-0.559221491
58.89777,-123.15472,446.6,-0.318444588
58.89745,-123.15626,447.8,-0.080330464
58.89722,-123.15749,448.6,0.153632885
58.89699,-123.15872,447,0.42973067
58.89687,-123.1597,445.4,0.69918687
58.89675,-123.16068,443.9,0.937955296
58.89671,-123.16201,443.1,1.134731609
58.89666,-123.16335,442,1.329050569
58.89671,-123.16445,443.5,1.508385319
58.89676,-123.16556,443.5,1.651026067
58.89693,-123.16693,445.7,1.743686821
58.8971,-123.16829,448.2,1.806944315
58.89728,-123.16966,450.8,1.84033907
58.89745,-123.17102,453.7,1.836663473
58.89753,-123.1721,456,1.781736321
58.89761,-123.17318,458.5,1.668157893
58.89763,-123.17445,461.7,1.540045712
58.89766,-123.17572,466.6,1.382975788
58.89758,-123.17739,471.5,1.195425932
58.89751,-123.17906,475,1.016235374
58.89744,-123.18074,473.8,0.857353069
58.89737,-123.18241,472.8,0.7150868
58.89728,-123.18396,470.8,0.587915972
58.89718,-123.18552,469.5,0.440904559
58.89709,-123.18708,467.1,0.261991146
58.89699,-123.18863,464.6,0.023984611
58.8969,-123.19019,462.9,-0.234822009
58.8968,-123.19174,458.7,-0.510811504
58.8967,-123.1933,453.8,-0.788298813
58.89661,-123.19485,450,-1.066750244
58.89657,-123.19622,448.1,-1.320097818
58.89653,-123.19759,444.4,-1.541681731
58.89658,-123.19908,441,-1.745970066
58.89663,-123.20057,438.5,-1.901083859
58.89681,-123.20209,438,-2.004932717
58.89699,-123.20362,438.1,-2.058675713
58.89718,-123.20515,437.4,-2.047375453
58.89736,-123.20667,436.8,-1.958663641
58.89754,-123.2082,436.3,-1.814366153
58.89772,-123.20973,438.8,-1.630060176
58.89791,-123.21125,439,-1.439432032
58.898,-123.21261,437.2,-1.223389361
58.8981,-123.21396,434.9,-0.979247578
58.89815,-123.2152,433.5,-0.684053726
58.89821,-123.21644,432.7,-0.372288437
58.89824,-123.21813,436.3,-0.05254133
58.89826,-123.21982,437.7,0.289195792
58.89828,-123.22151,438.8,0.622450231
58.89831,-123.2232,442.5,0.942421613
58.89833,-123.22489,444.9,1.242571716
58.89836,-123.22658,447.1,1.531553661
58.89838,-123.22827,449.3,1.791543849
58.8984,-123.22996,454.5,2.00262095
58.89843,-123.23165,456.8,2.161646206
58.89845,-123.23334,459,2.290683194
58.89848,-123.23503,461.9,2.394021114
58.8985,-123.23672,463.3,2.461568942
58.89852,-123.2384,465.3,2.504700377
58.89855,-123.24009,469.1,2.515843846
58.89857,-123.24178,474.6,2.514850587
58.8986,-123.24347,481,2.482912818
58.89862,-123.24516,485.8,2.399506272
58.89864,-123.24685,488.9,2.264198574
58.89867,-123.24854,488.5,2.111130308
58.89869,-123.25023,490,1.923003642
58.89872,-123.25192,491.7,1.721416
58.89874,-123.25361,491.4,1.519007733
58.89876,-123.2553,491,1.296897362
58.89879,-123.25699,488.9,1.078321726
58.89881,-123.25868,487.2,0.861641906
58.89885,-123.2601,485.2,0.64078556
58.89889,-123.26152,482,0.413075375
58.89893,-123.26295,480.6,0.204865759
58.89897,-123.26437,480.2,0.009148923
58.89907,-123.26605,479.1,-0.183590043
58.89917,-123.26774,478,-0.369361347
58.89927,-123.26942,477.4,-0.567270136
58.89937,-123.27111,475.2,-0.739042052
