Latitude,Longitude,Elevation,Grade(%)
40.56007,-111.427,1746.2,0.843458063
40.56062,-111.42725,1746.5,0.614538266
40.56141,-111.42754,1747.5,0.451251866
40.56218,-111.42778,1748.1,0.369010539
40.56294,-111.42803,1748.1,0.377023365
40.5637,-111.42827,1748.1,0.477700205
40.56447,-111.42851,1748,0.66698391
40.56523,-111.42875,1748.9,0.935280838
40.56599,-111.429,1752.6,1.268636235
40.56676,-111.42924,1756.9,1.625791513
40.5672799,-111.42944,1757,1.999676637
40.5678,-111.42964,1757.5,2.406634333
40.56833,-111.42988,1757.8,2.83900328
40.5688699,-111.43012,1761.8,3.070245108
40.56966,-111.43052,1770.3,3.374698025
40.57012,-111.43079,1770.7,3.599531416
40.5705699,-111.43105,1772.942431,3.769200395
40.57114,-111.43143,1775.857855,3.916124587
40.5717,-111.43181,1778.73264,4.178313408
40.57235,-111.43227,1782.1,4.411145154
40.57299,-111.43272,1784.6,4.628060984
40.57363,-111.43318,1791.7,4.607083468
40.57427,-111.43364,1794.2,4.620185175
40.57492,-111.4341,1797.9,4.966148973
40.57533,-111.43435,1800.1,5.310220325
40.57575,-111.4346,1804.1,5.446163823
40.5765,-111.43498,1810.4,5.618941022
40.57723,-111.43529,1814.7,5.489306705
40.57809,-111.43562,1817.7,5.356690059
40.5785399,-111.43573,1821.1,5.341321747
40.57899,-111.43584,1825.2,5.295826943
40.57945,-111.43594,1827.4,5.17766682
40.5799,-111.43605,1827.3,5.036560476
40.58064,-111.43617,1832.7,4.613401722
40.58148,-111.43622,1833.5,4.33289057
40.58232,-111.43627,1842.5,4.278593135
40.58315,-111.43632,1847.7,4.206941375
40.58399,-111.43637,1846.5,4.026148619
40.5848299,-111.43642,1852.4,3.959225107
40.58566,-111.43647,1854.8,3.889112271
40.5865,-111.43651,1856,4.070664255
40.58734,-111.43656,1864.1,4.308365395
40.58817,-111.43661,1869.3,4.503014547
40.58901,-111.43666,1871.3,4.447574126
40.58985,-111.43671,1875.7,4.715254074
40.59068,-111.43676,1880.9,5.226995583
40.59152,-111.43681,1885.6,5.477733329
40.59225,-111.43677,1895.8,5.965070991
40.59284,-111.43666,1899.1,6.331438819
40.5933,-111.4365,1899.3,6.328701921
40.59385,-111.4363,1904.3,6.380537069
40.59431,-111.43601,1910,6.557807481
40.59485,-111.43567,1915.2,6.313057587
40.5955299,-111.43519,1918.8,5.946014544
